Date,Predicted_Sales
2011-12-10,30523.648501545547
2011-12-11,18835.37429900803
2011-12-12,28561.166807229496
2011-12-13,18942.716620351322
2011-12-14,40890.055185364254
2011-12-15,41177.393508524554
2011-12-16,37319.63862951573
2011-12-17,28603.149209565694
2011-12-18,28568.460595507946
2011-12-19,37757.66345294313
2011-12-20,38902.07718698085
2011-12-21,40280.329852482515
2011-12-22,40440.79976021832
2011-12-23,36727.93641105585
2011-12-24,28073.15879436207
2011-12-25,28237.21309121638
2011-12-26,38093.163252559054
2011-12-27,39367.282325316606
2011-12-28,40720.55844940027
2011-12-29,40779.07247047096
2011-12-30,37182.93706586647
2011-12-31,28435.505211358497
2012-01-01,28498.48673307453
2012-01-02,37859.361734120954
2012-01-03,39082.558207295
2012-01-04,39278.73787025627
2012-01-05,40007.990486743045
2012-01-06,36303.609023099474
2012-01-07,26688.86858107101
2012-01-08,26688.86858107101
